epoch, loss(train), loss(val)
2, 0.068264, 0.066110
3, 0.064122, 0.062628
4, 0.060438, 0.059920
5, 0.059801, 0.059508
6, 0.059259, 0.058924
7, 0.058629, 0.058101
8, 0.058048, 0.057791
9, 0.058454, 0.058416
10, 0.058675, 0.058777
11, 0.058370, 0.058430
12, 0.057999, 0.058021
13, 0.057656, 0.057744
14, 0.057686, 0.057843
15, 0.058182, 0.058384
16, 0.058460, 0.058770
17, 0.058416, 0.058736
18, 0.057461, 0.057750
19, 0.056130, 0.056310
20, 0.054899, 0.055004
21, 0.054311, 0.054304
22, 0.054011, 0.053956
23, 0.053804, 0.053789
24, 0.053912, 0.053940
25, 0.053980, 0.054102
26, 0.054036, 0.054221
27, 0.054032, 0.054174
28, 0.053859, 0.053952
29, 0.053869, 0.053855
30, 0.053897, 0.053789
31, 0.053977, 0.053684
32, 0.054146, 0.053690
33, 0.054114, 0.053585
34, 0.053837, 0.053342
35, 0.053427, 0.053079
36, 0.052834, 0.052732
37, 0.052377, 0.052473
38, 0.052059, 0.052323
39, 0.051822, 0.052194
40, 0.051687, 0.052090
41, 0.051599, 0.052035
42, 0.051543, 0.052002
43, 0.051492, 0.051979
44, 0.051441, 0.051964
45, 0.051421, 0.051940
46, 0.051367, 0.051917
47, 0.051326, 0.051903
48, 0.051282, 0.051888
49, 0.051247, 0.051872
50, 0.051210, 0.051871
51, 0.051175, 0.051883
52, 0.051149, 0.051886
53, 0.051129, 0.051913
54, 0.051116, 0.051936
55, 0.051102, 0.051941
56, 0.051099, 0.051973
57, 0.051085, 0.051980
58, 0.051069, 0.051975
59, 0.051041, 0.051938
60, 0.051020, 0.051919
61, 0.050994, 0.051884
62, 0.050970, 0.051851
63, 0.050952, 0.051824
64, 0.050932, 0.051791
65, 0.050915, 0.051762
66, 0.050900, 0.051739
67, 0.050888, 0.051720
68, 0.050880, 0.051714
69, 0.050870, 0.051703
70, 0.050862, 0.051696
71, 0.050854, 0.051680
72, 0.050847, 0.051672
73, 0.050842, 0.051672
74, 0.050836, 0.051663
75, 0.050830, 0.051650
76, 0.050825, 0.051648
77, 0.050820, 0.051643
78, 0.050817, 0.051644
79, 0.050812, 0.051636
80, 0.050809, 0.051635
81, 0.050805, 0.051629
82, 0.050801, 0.051625
83, 0.050798, 0.051623
84, 0.050795, 0.051622
85, 0.050792, 0.051617
86, 0.050790, 0.051615
87, 0.050787, 0.051613
88, 0.050785, 0.051612
89, 0.050783, 0.051612
90, 0.050781, 0.051609
91, 0.050779, 0.051608
92, 0.050778, 0.051606
93, 0.050776, 0.051605
94, 0.050775, 0.051604
95, 0.050774, 0.051602
96, 0.050772, 0.051599
97, 0.050771, 0.051599
98, 0.050770, 0.051600
99, 0.050769, 0.051597
100, 0.050768, 0.051596
1, 0.084326, 0.082111
2, 0.067675, 0.066096
3, 0.063037, 0.061884
4, 0.060235, 0.059597
5, 0.059429, 0.059154
6, 0.059058, 0.058983
7, 0.058302, 0.058147
8, 0.058073, 0.057841
9, 0.057751, 0.057718
10, 0.057868, 0.057935
11, 0.057844, 0.058059
12, 0.057605, 0.057729
13, 0.056757, 0.056798
14, 0.056279, 0.056278
15, 0.056084, 0.056146
16, 0.056607, 0.056665
17, 0.057447, 0.057562
18, 0.057931, 0.058062
19, 0.057932, 0.058026
20, 0.056523, 0.056666
21, 0.054813, 0.054965
22, 0.053830, 0.054018
23, 0.053511, 0.053685
24, 0.053198, 0.053462
25, 0.053054, 0.053336
26, 0.052948, 0.053279
27, 0.052850, 0.053252
28, 0.052809, 0.053145
29, 0.052700, 0.053007
30, 0.052565, 0.052855
31, 0.052525, 0.052728
32, 0.052521, 0.052635
33, 0.052542, 0.052554
34, 0.052591, 0.052510
35, 0.052629, 0.052478
36, 0.052609, 0.052442
37, 0.052505, 0.052344
38, 0.052283, 0.052196
39, 0.052129, 0.052099
40, 0.051865, 0.051973
41, 0.051727, 0.051912
42, 0.051614, 0.051869
43, 0.051569, 0.051843
44, 0.051505, 0.051823
45, 0.051464, 0.051800
46, 0.051440, 0.051774
47, 0.051418, 0.051756
48, 0.051364, 0.051738
49, 0.051345, 0.051721
50, 0.051294, 0.051708
51, 0.051244, 0.051699
52, 0.051217, 0.051687
53, 0.051168, 0.051685
54, 0.051129, 0.051696
55, 0.051096, 0.051717
56, 0.051069, 0.051752
57, 0.051054, 0.051791
58, 0.051046, 0.051823
59, 0.051033, 0.051830
60, 0.051030, 0.051859
61, 0.051019, 0.051869
62, 0.051008, 0.051871
63, 0.050986, 0.051852
64, 0.050960, 0.051816
65, 0.050938, 0.051782
66, 0.050921, 0.051765
67, 0.050905, 0.051737
68, 0.050893, 0.051723
69, 0.050879, 0.051702
70, 0.050866, 0.051684
71, 0.050855, 0.051657
72, 0.050848, 0.051651
73, 0.050842, 0.051645
74, 0.050834, 0.051638
75, 0.050828, 0.051627
76, 0.050821, 0.051613
77, 0.050817, 0.051616
78, 0.050811, 0.051602
79, 0.050808, 0.051602
80, 0.050804, 0.051598
81, 0.050800, 0.051593
82, 0.050796, 0.051591
83, 0.050792, 0.051581
84, 0.050789, 0.051579
85, 0.050786, 0.051579
86, 0.050783, 0.051572
87, 0.050781, 0.051570
88, 0.050779, 0.051571
89, 0.050777, 0.051571
90, 0.050774, 0.051563
91, 0.050773, 0.051561
92, 0.050771, 0.051558
93, 0.050769, 0.051557
94, 0.050767, 0.051552
95, 0.050766, 0.051551
96, 0.050765, 0.051556
97, 0.050764, 0.051553
98, 0.050763, 0.051555
99, 0.050762, 0.051552
100, 0.050761, 0.051550
