GYRO_DIFF, GYRO_X, GYRO_Y, GYRO_Z, ACC_DIFF, ACC_X, ACC_Y, ACC_Z, TOUCH_DOWN, TOUCH_X, TOUCH_Y 
4943848, -0.019515991, 0.087265015, -0.0065460205, 4943848, 0.16722307, -0.08638668, 0.23066807, 0, 0, 0
4943848, -0.018295288, 0.09703064, -0.0041046143, 4943848, 0.22597784, -0.057529926, 0.19471502, 0, 0, 0
4913330, 0.011001587, 0.10925293, -0.008987427, 4913330, 0.24441677, -0.032375336, 0.23393774, 0, 0, 0
4974365, 0.0036773682, 0.10192871, -0.019989014, 4974365, 0.13623372, -0.060812473, 0.15398312, 0, 0, 0
7049561, 0.013442993, 0.090927124, -0.027313232, 7049561, -0.15548605, -0.043673515, 0.29666805, 0, 0, 0
5004882, 0.026885986, 0.08604431, -0.0309906, 5004882, -0.079505116, 0.021197796, 0.13966656, 0, 0, 0
5065918, 0.03666687, 0.05671692, -0.028549194, 5004882, -0.079505116, 0.021197796, 0.13966656, 0, 0, 0
5065918, 0.03666687, 0.05671692, -0.028549194, 5065918, -0.0032357574, 0.07899189, -0.12554646, 0, 0, 0
4943848, 0.042770386, 0.0029907227, -0.04319763, 5065918, -0.0032357574, 0.07899189, -0.12554646, 0, 0, 0
4943848, 0.042770386, 0.0029907227, -0.04319763, 4943848, -0.059474975, 0.014641762, -0.20512438, 0, 0, 0
4943848, 0.026885986, -0.012893677, -0.049316406, 4943848, -0.080546975, -0.02921009, -0.2340002, 0, 0, 0
4943847, 0.018341064, -0.019012451, -0.05419922, 4943847, -0.10478926, -0.15087366, -0.2448988, 0, 0, 0
4943848, 0.0073547363, -0.028778076, -0.045639038, 4943848, -0.11878151, -0.119336605, -0.19880104, 0, 0, 0
4943847, -0.015838623, -0.037338257, -0.039535522, 4943847, -0.09590185, -0.11542606, -0.17291832, 0, 0, 0
4943848, -0.021957397, -0.0104522705, -0.033432007, 4943847, -0.09590185, -0.11542606, -0.17291832, 0, 0, 0
4943847, -0.028076172, 0.004196167, -0.027313232, 4943848, -0.053880095, -0.10555267, -0.08534098, 0, 0, 0
4943847, -0.028076172, 0.004196167, -0.027313232, 4943847, -0.09284526, -0.060586452, 0.07104921, 0, 0, 0
4943848, -0.024398804, 0.023742676, -0.013870239, 4943848, -0.088397264, -0.05574417, 0.1095705, 0, 0, 0
4943847, -0.02319336, 0.054275513, 7.6293945E-4, 4943848, -0.088397264, -0.05574417, 0.1095705, 0, 0, 0
4943847, -0.02319336, 0.054275513, 7.6293945E-4, 4943847, 0.080010265, -0.038104057, 0.01374054, 0, 0, 0
4943848, -0.024398804, 0.050613403, 7.6293945E-4, 4943848, 0.11093786, 0.011977196, -0.0072340965, 0, 0, 0
4913330, -0.034179688, 0.060394287, 0.008087158, 4913330, 0.14540431, 0.04920578, 0.06282616, 0, 0, 0
4974365, -0.041519165, 0.07626343, 0.006881714, 4974365, 0.13047165, 0.07682562, 0.12418842, 0, 0, 0
5218506, -0.032958984, 0.08848572, 0.0032043457, 5218506, 0.16206408, 0.07344341, 0.13181782, 0, 0, 0
4669190, -0.020751953, 0.08848572, -0.0077819824, 4669190, 0.16038167, 0.06009054, 0.055756092, 0, 0, 0
4943847, -0.029281616, 0.06893921, -0.011428833, 4669190, 0.16038167, 0.06009054, 0.055756092, 0, 0, 0
4943848, -0.014633179, 0.050613403, -0.023666382, 4913330, 0.079399616, 0.004266262, 0.018118382, 0, 0, 0
4974365, -0.008514404, 0.020065308, -0.027313232, 4943847, -0.0061484873, -0.024241924, -0.097821236, 0, 0, 0
4974365, -0.008514404, 0.020065308, -0.027313232, 4974365, -0.19604304, -0.12330532, -0.1432867, 0, 0, 0
4943848, -0.017074585, -0.015335083, -0.016311646, 4974365, -0.19604304, -0.12330532, -0.1432867, 0, 0, 0
4943848, -0.017074585, -0.015335083, -0.016311646, 4943848, -0.20693511, -0.18256855, -0.049078465, 0, 0, 0
7049560, -0.0024261475, -0.03855896, -0.008987427, 7049560, -0.21605596, -0.18302631, -0.03582096, 0, 0, 0
5065918, 0.0073547363, -0.06542969, -0.00289917, 5065918, -0.17450187, -0.19727564, -0.03988886, 0, 0, 0
5004883, 0.011001587, -0.061767578, -0.008987427, 5004883, -0.14250538, -0.19833183, -0.068145275, 0, 0, 0
5035400, 0.009796143, -0.056884766, -0.011428833, 5035400, -0.13473469, -0.18730307, -8.010864E-5, 0, 0, 0
5035401, 0.0061187744, -0.03855896, -0.0041046143, 5035401, -0.074040055, -0.1568203, -0.022253036, 0, 0, 0
4943847, 0.012237549, -0.028778076, -0.0065460205, 4943847, -0.03518039, -0.14875889, -0.045903683, 0, 0, 0
4974366, 0.012237549, -0.028778076, -0.005340576, 4974366, -0.034030348, -0.10403919, -0.05488205, 0, 0, 0
4913330, 0.0036773682, -0.02633667, -0.005340576, 4913330, 0.008295596, -0.109547615, 0.015128136, 0, 0, 0
4974365, 0.02444458, -0.019012451, -0.0041046143, 4974365, 0.04089141, -0.07585335, -0.0039014816, 0, 0, 0
4913330, 0.03666687, -0.020233154, -0.0065460205, 4913330, 0.058713973, -0.03816986, -0.04977846, 0, 0, 0
4974365, 0.022003174, -0.023895264, -0.001663208, 4974365, 0.068769544, -0.04692459, -0.040770054, 0, 0, 0
4882813, 0.023239136, -0.031219482, -0.001663208, 4882813, 0.044037968, -0.030866146, -0.005373478, 0, 0, 0
4974365, 0.030563354, -0.008010864, 0.0019989014, 4974365, 0.1299938, -0.01143074, -0.091513634, 0, 0, 0
4943848, 0.026885986, 0.015197754, 0.011764526, 4943848, 0.19907948, 0.025537968, -0.10404253, 0, 0, 0
4974365, 0.014678955, 0.038391113, 0.021530151, 4974365, 0.20655012, 0.061389923, -0.23780632, 0, 0, 0
4913330, 0.0061187744, 0.046951294, 0.02520752, 4913330, 0.16400826, 0.075217724, -0.30016184, 0, 0, 0
4943848, -0.009750366, 0.046951294, 0.017868042, 4943848, 0.10359776, 0.09287691, -0.3080845, 0, 0, 0
4943847, -0.012191772, 0.0493927, 0.0044403076, 4943847, -0.034104615, 0.09937382, -0.31874657, 0, 0, 0
4943848, -0.030517578, 0.035949707, 0.0044403076, 4943848, -0.09621057, 0.049441814, -0.33784914, 0, 0, 0
4943848, -0.031723022, 0.018859863, -4.5776367E-4, 4943848, -0.117862076, 0.009813786, -0.27062798, 0, 0, 0
4943847, -0.02684021, -0.0043640137, 0.0019989014, 4943847, -0.117865264, -0.026775837, -0.2847662, 0, 0, 0
4943848, -0.030517578, -0.030014038, -4.5776367E-4, 4943848, -0.13948274, -0.11123037, -0.23577595, 0, 0, 0
4943848, -0.050048828, -0.049545288, 0.005645752, 4943848, -0.124602795, -0.18084717, -0.17137146, 0, 0, 0
4943847, -0.037841797, -0.05810547, 0.0032043457, 4943847, -0.13913488, -0.18928099, -0.030500412, 0, 0, 0
4943848, -0.04272461, -0.060546875, -0.001663208, 4943848, -0.1129038, -0.20372486, 0.0036349297, 0, 0, 0
4943848, -0.02684021, -0.052001953, -0.008987427, 4943848, -0.06988001, -0.17858028, 0.028233528, 0, 0, 0
4943847, -0.031723022, -0.048339844, -0.00289917, 4943847, -0.025761098, -0.14947462, 0.029444218, 0, 0, 0
5004883, -0.015838623, -0.012893677, -0.021224976, 4943847, -0.025761098, -0.14947462, 0.029444218, 0, 0, 0
5004883, -0.015838623, -0.012893677, -0.021224976, 5004883, 0.072102696, -0.0750308, -0.036710262, 0, 0, 0
4638672, -0.024398804, 0.018859863, -0.021224976, 5004883, 0.072102696, -0.0750308, -0.036710262, 0, 0, 0
5035400, -0.021957397, 0.013961792, -0.008987427, 5432129, 0.06519413, -0.021044254, 0.15120363, 0, 0, 0
5035400, -0.021957397, 0.013961792, -0.008987427, 5035400, 0.052070796, 0.037549496, 0.16004944, 0, 0, 0
4943848, 0.02079773, 0.0493927, 0.010528564, 5035400, 0.052070796, 0.037549496, 0.16004944, 0, 0, 0
4943847, 0.028121948, 0.05671692, 0.014205933, 4943848, 0.08159804, 0.052559376, 0.1536169, 0, 0, 0
4943847, 0.028121948, 0.05671692, 0.014205933, 4943847, 0.12318596, 0.08302498, -0.039387226, 0, 0, 0
4913330, 0.0317688, 0.066482544, 0.012969971, 4943847, 0.12318596, 0.08302498, -0.039387226, 0, 0, 0
4974365, 0.013442993, 0.075042725, 0.015411377, 4943848, 0.12155858, 0.070286274, -0.043324947, 0, 0, 0
4913330, -0.0011901855, 0.06283569, 0.019088745, 4913330, 0.11869785, 0.01706171, -0.14059353, 0, 0, 0
4913330, -0.0011901855, 0.06283569, 0.019088745, 4913330, -0.024551421, 0.011972904, -0.25062513, 0, 0, 0
4943848, 0.0073547363, 0.04083252, 0.019088745, 4943848, -0.14111719, 0.051980972, -0.26093388, 0, 0, 0
4974365, -0.013397217, 0.0335083, 0.026412964, 4974365, -0.2074045, 0.012417316, -0.2109499, 0, 0, 0
4943848, -0.029281616, 0.029830933, 0.03253174, 4974365, -0.2074045, 0.012417316, -0.2109499, 0, 0, 0
4943847, -0.03540039, 0.026184082, 0.03375244, 4943848, -0.14615059, -0.0049157143, -0.22785568, 0, 0, 0
4974365, -0.032958984, 0.013961792, 0.02885437, 4943848, -0.030121505, -0.06917, -0.094034195, 0, 0, 0
4913330, -0.032958984, 0.013961792, 0.02520752, 4943847, 0.05467847, -0.040447235, -0.010492325, 0, 0, 0
4974366, -0.029281616, 0.017623901, 0.02520752, 4974365, 0.088272005, -0.01567316, 0.0125665665, 0, 0, 0
4913330, -0.03540039, 0.020065308, 0.016647339, 4913330, 0.10379133, 0.04154682, -0.03658533, 0, 0, 0
4943847, -0.036621094, 0.016403198, 0.012969971, 4974366, 0.011559218, 0.08117533, -0.14745569, 0, 0, 0
4943847, -0.036621094, 0.016403198, 0.012969971, 4943847, 0.044869035, 0.0721488, -0.14037323, 0, 0, 0
4943848, -0.028076172, -0.0104522705, 0.006881714, 4943848, -0.023979783, 0.023385048, -0.069293976, 0, 0, 0
4913330, -0.048843384, -0.05078125, 0.006881714, 4943848, -0.023979783, 0.023385048, -0.069293976, 0, 0, 0
4943848, -0.031723022, -0.05444336, 0.006881714, 4974365, -0.07031369, -0.084420204, -0.04074669, 0, 0, 0
4943848, -0.031723022, -0.05444336, 0.006881714, 4943848, 0.07150847, -0.10804701, 0.04566717, 0, 0, 0
4943848, -0.03540039, -0.049545288, -4.5776367E-4, 4943848, 0.11679977, -0.05048275, 0.12151766, 0, 0, 0
7080078, -0.019515991, -0.017791748, -0.001663208, 7080078, 0.15725091, 0.0059919357, 0.15848207, 0, 0, 0
5004883, -0.009750366, -0.00680542, 0.0019989014, 5004883, 0.23950323, 0.031372547, 0.20654535, 0, 0, 0
5035400, -0.0036315918, 0.012756348, -0.0041046143, 5035400, 0.24660215, 0.08836317, 0.15954494, 0, 0, 0
5004883, -0.009750366, 0.012756348, -0.00289917, 5004883, 0.16626334, 0.12401581, 0.24587154, 0, 0, 0
5065918, -0.009750366, 0.0029907227, -4.5776367E-4, 5065918, 0.18636173, 0.09350443, 0.25529003, 0, 0, 0
4943848, 0.009796143, -0.017791748, -4.5776367E-4, 4943848, 0.14931142, 0.07145023, 0.19970465, 0, 0, 0
4943847, 0.02444458, -0.02633667, -0.008987427, 4943847, 0.052410334, 0.05479479, 0.121684074, 0, 0, 0
4943848, 0.029327393, -0.041000366, -0.013870239, 4943848, 0.06898892, -0.0024776459, -0.0044054985, 0, 0, 0
4913330, 0.0317688, -0.037338257, -0.012664795, 4913330, 0.083592355, 0.004693508, -0.0988574, 0, 0, 0
